2020-11-03 23:31:18 startup packages configure
2020-11-03 23:31:18 configure lsb-base:all 10.2019051400+rpi1 <none>
2020-11-03 23:31:18 status unpacked lsb-base:all 10.2019051400+rpi1
2020-11-03 23:31:19 status half-configured lsb-base:all 10.2019051400+rpi1
2020-11-03 23:31:19 status installed lsb-base:all 10.2019051400+rpi1
2020-11-03 23:31:19 configure wireless-regdb:all 2018.05.09-0~rpt1 <none>
2020-11-03 23:31:19 status unpacked wireless-regdb:all 2018.05.09-0~rpt1
2020-11-03 23:31:19 status half-configured wireless-regdb:all 2018.05.09-0~rpt1
2020-11-03 23:31:19 status installed wireless-regdb:all 2018.05.09-0~rpt1
2020-11-03 23:31:19 configure libldap-common:all 2.4.47+dfsg-3+rpi1+deb10u2 <none>
2020-11-03 23:31:19 status unpacked libldap-common:all 2.4.47+dfsg-3+rpi1+deb10u2
2020-11-03 23:31:19 status half-configured libldap-common:all 2.4.47+dfsg-3+rpi1+deb10u2
2020-11-03 23:31:19 status installed libldap-common:all 2.4.47+dfsg-3+rpi1+deb10u2
2020-11-03 23:31:19 configure libaudit-common:all 1:2.8.4-3 <none>
2020-11-03 23:31:19 status unpacked libaudit-common:all 1:2.8.4-3
2020-11-03 23:31:19 status half-configured libaudit-common:all 1:2.8.4-3
2020-11-03 23:31:19 status installed libaudit-common:all 1:2.8.4-3
2020-11-03 23:31:19 configure libsemanage-common:all 2.8-2 <none>
2020-11-03 23:31:19 status unpacked libsemanage-common:all 2.8-2
2020-11-03 23:31:19 status half-configured libsemanage-common:all 2.8-2
2020-11-03 23:31:19 status installed libsemanage-common:all 2.8-2
2020-11-03 23:31:19 configure ncurses-base:all 6.1+20181013-2+deb10u2 <none>
2020-11-03 23:31:19 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2020-11-03 23:31:19 status half-configured ncurses-base:all 6.1+20181013-2+deb10u2
2020-11-03 23:31:19 status installed ncurses-base:all 6.1+20181013-2+deb10u2
2020-11-03 23:31:19 configure firmware-brcm80211:all 1:20190114-1+rpt9 <none>
2020-11-03 23:31:19 status unpacked firmware-brcm80211:all 1:20190114-1+rpt9
2020-11-03 23:31:19 status half-configured firmware-brcm80211:all 1:20190114-1+rpt9
2020-11-03 23:31:19 status installed firmware-brcm80211:all 1:20190114-1+rpt9
2020-11-03 23:31:19 configure gnupg-l10n:all 2.2.12-1+rpi1+deb10u1 <none>
2020-11-03 23:31:19 status unpacked gnupg-l10n:all 2.2.12-1+rpi1+deb10u1
2020-11-03 23:31:19 status half-configured gnupg-l10n:all 2.2.12-1+rpi1+deb10u1
2020-11-03 23:31:19 status installed gnupg-l10n:all 2.2.12-1+rpi1+deb10u1
2020-11-03 23:31:19 configure gcc-8-base:armhf 8.3.0-6+rpi1 <none>
2020-11-03 23:31:19 status unpacked gcc-8-base:armhf 8.3.0-6+rpi1
2020-11-03 23:31:19 status half-configured gcc-8-base:armhf 8.3.0-6+rpi1
2020-11-03 23:31:19 status installed gcc-8-base:armhf 8.3.0-6+rpi1
2020-11-03 23:31:19 configure sensible-utils:all 0.0.12 <none>
2020-11-03 23:31:19 status unpacked sensible-utils:all 0.0.12
2020-11-03 23:31:19 status half-configured sensible-utils:all 0.0.12
2020-11-03 23:31:19 status installed sensible-utils:all 0.0.12
2020-11-03 23:31:19 configure libc6:armhf 2.28-10+rpi1 <none>
2020-11-03 23:31:19 status unpacked libc6:armhf 2.28-10+rpi1
2020-11-03 23:31:19 status half-configured libc6:armhf 2.28-10+rpi1
2020-11-03 23:31:22 status installed libc6:armhf 2.28-10+rpi1
2020-11-03 23:31:22 configure libudev1:armhf 241-7~deb10u4+rpi1 <none>
2020-11-03 23:31:22 status unpacked libudev1:armhf 241-7~deb10u4+rpi1
2020-11-03 23:31:22 status half-configured libudev1:armhf 241-7~deb10u4+rpi1
2020-11-03 23:31:22 status installed libudev1:armhf 241-7~deb10u4+rpi1
2020-11-03 23:31:22 configure libsepol1:armhf 2.8-1 <none>
2020-11-03 23:31:22 status unpacked libsepol1:armhf 2.8-1
2020-11-03 23:31:22 status half-configured libsepol1:armhf 2.8-1
2020-11-03 23:31:22 status installed libsepol1:armhf 2.8-1
2020-11-03 23:31:22 configure libattr1:armhf 1:2.4.48-4 <none>
2020-11-03 23:31:22 status unpacked libattr1:armhf 1:2.4.48-4
2020-11-03 23:31:22 status half-configured libattr1:armhf 1:2.4.48-4
2020-11-03 23:31:22 status installed libattr1:armhf 1:2.4.48-4
